Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce,Nazev prodejce
BMW XM,N/A,2 999 999 Kč,4/2023,44000km,neuvedeno,neuvedeno,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,zelená metalíza,Okruzni 49 Ceske Budejovice 37001,"ACR auto, a.s."
BMW XM,50e,3 315 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,350 kW / 476 PS,2 998 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,modrá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW XM,Label Red,3 999 000 Kč,12/2023,29km,neuvedeno,Nové vozidlo,550 kW / 748 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,neuvedeno,Jeremiášova 1127/5 Praha 5 - Stodůlky 15500,"BMW | MINI invelt Praha | Plzeň, nové vozy"
BMW XM,4.4 V8TT,3 399 000 Kč,5/2023,24000km,neuvedeno,neuvedeno,480 kW / 653 PS,4 395 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá,Příborská 89 Zelinkovice 73942,Nelly Cars s.r.o.
BMW XM,N/A,3 707 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,zelená metalíza,Tovární 1b Olomouc 77900,CarTec Olomouc s.r.o.
BMW XM,N/A,3 798 000 Kč,2024,5000km,neuvedeno,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Průběžná 76 Praha 10 10000,CarTec Praha s. r. o.
BMW XM,XM Individual Masáže Garance+,3 299 000 Kč,5/2023,16000km,neuvedeno,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,zelená metalíza,Pražská třída 24/138 Hradec Králové 50004,EXCLUSIVE CAR
BMW XM,N/A,3 889 000 Kč,2/2024,23604km,2/2028,Perfektní,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Řípská 5c Brno - Slatina 62700,"Renocar, a.s. - Brno"
BMW XM,Bowers & Wilkins,3 899 000 Kč,6/2023,20180km,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,červená,Řípská 5c Brno - Slatina 62700,"Renocar, a.s. - Brno"
BMW XM,N/A,3 799 000 Kč,5/2023,59000km,5/2027,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Tř.T.Bati 400 Zlín 76001,Synot Auto Zlín - BMW se zárukou stavu a původu
BMW XM,50e,3 079 000 Kč,5/2024,13000km,5/2028,Nové vozidlo,350 kW / 476 PS,2 998 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Tř.T.Bati 400 Zlín 76001,Synot Auto Zlín - BMW se zárukou stavu a původu
BMW XM,N/A,4 430 000 Kč,N/A,neuvedeno,neuvedeno,Nové vozidlo,480 kW / 653 PS,4 395 cm³,hybridní - benzin,neuvedeno,SUV,5 dveří,5 míst,modrá metalíza,Obchodní 622 Liberec 11 46001,"CarTec Liberec, s.r.o."
BMW XM,50e,3 718 899 Kč,11/2024,15000km,neuvedeno,neuvedeno,350 kW / 476 PS,2 998 cm³,hybridní - benzin,aut. převodovka,SUV,5 dveří,5 míst,žlutá,Bytčická 82 Žilina 01001,MD-Bavaria Žilina s.r.o.
